SYMBOL,COMPANY NAME,MARKET CAP,MARKET CAP CATEGORY,EXCHANGE,KITE_ID,SHOONYA_TOKEN
AWL,Adani Wilmar Limited,43968.17121,Mid Cap,NSE,2076161,8110
ACC,ACC Limited,43790.05092,Mid Cap,NSE,5633,22
NAM-INDIA,Nippon Life India Asset Management Limited,43483.76842,Mid Cap,NSE,91393,357
HUDCO,Housing & Urban Development Corporation Limited,43359.15172,Mid Cap,NSE,5331201,20825
MFSL,Max Financial Services Limited,43115.36435,Mid Cap,NSE,548353,2142
SONACOMS,Sona BLW Precision Forgings Limited,42605.62534,Mid Cap,NSE,1199105,4684
MAHABANK,Bank of Maharashtra,42565.0389,Mid Cap,NSE,2912513,11377
NATIONALUM,National Aluminium Company Limited,41713.53948,Mid Cap,NSE,1629185,6364
APLAPOLLO,APL Apollo Tubes Limited,41547.61871,Mid Cap,NSE,6599681,25780
360ONE,360 ONE WAM LIMITED,41400.92948,Mid Cap,NSE,3343617,13061
UPL,UPL Limited,41001.9627,Mid Cap,NSE,2889473,11287
TATATECH,Tata Technologies Limited,40798.09659,Mid Cap,NSE,5195009,20293
ESCORTS,Escorts Kubota Limited,39998.14124,Mid Cap,NSE,245249,958
HONAUT,Honeywell Automation India Limited,39975.55425,Mid Cap,NSE,874753,3417
IPCALAB,IPCA Laboratories Limited,39633.63656,Mid Cap,NSE,418049,1633
EXIDEIND,Exide Industries Limited,39546.25085,Mid Cap,NSE,173057,676
CRISIL,CRISIL Limited,39317.71372,Mid Cap,NSE,193793,757
BDL,Bharat Dynamics Limited,39028.40177,Mid Cap,NSE,548865,2144
3MINDIA,3M India Limited,39022.35607,Mid Cap,NSE,121345,474
BIOCON,Biocon Limited,38408.63764,Mid Cap,NSE,2911489,11373
JUBLFOOD,Jubilant Foodworks Limited,38034.1289,Mid Cap,NSE,4632577,18096
APARINDS,Apar Industries Limited,37905.73732,Mid Cap,NSE,2941697,11491
KPITTECH,KPIT Technologies Limited,37609.78657,Mid Cap,NSE,2478849,9683
AJANTPHARM,Ajanta Pharma Limited,37440.14336,Mid Cap,NSE,2079745,8124
BLUESTARCO,Blue Star Limited,37193.69851,Mid Cap,NSE,2127617,8311
DEEPAKNTR,Deepak Nitrite Limited,36991.82469,Mid Cap,NSE,5105409,19943
LTF,L&T Finance Limited,36601.99035,Mid Cap,NSE,6386689,24948
AIAENG,AIA Engineering Limited,36408.95406,Mid Cap,NSE,3350017,13086
GUJGASLTD,Gujarat Gas Limited,36312.49818,Mid Cap,NSE,2713345,10599
KEI,KEI Industries Limited,34937.64792,Mid Cap,NSE,3407361,13310
PSB,Punjab & Sind Bank,34919.17332,Mid Cap,NSE,5376257,21001
NLCINDIA,NLC India Limited,34880.92979,Mid Cap,NSE,2197761,8585
LICHSGFIN,LIC Housing Finance Limited,34818.98516,Mid Cap,NSE,511233,1997
SYNGENE,Syngene International Limited,34576.21361,Mid Cap,NSE,2622209,10243
DALBHARAT,Dalmia Bharat Limited,34518.306,Mid Cap,NSE,2067201,8075
GODREJIND,Godrej Industries Limited,34488.45763,Mid Cap,NSE,2796801,10925
TATAINVEST,Tata Investment Corporation Limited,34264.65546,Mid Cap,NSE,414977,1621
M&MFIN,Mahindra & Mahindra Financial Services Limited,33847.10595,Mid Cap,NSE,5132801,20050
KAYNES,Kaynes Technology India Limited,33732.41139,Mid Cap,NSE,3095553,12092
JKCEMENT,JK Cement Limited,33501.17417,Mid Cap,NSE,3397121,13270
PPLPHARMA,Piramal Pharma Limited,33324.38753,Mid Cap,NSE,2962177,11571
OLAELEC,Ola Electric Mobility Limited,33280.33096,Mid Cap,NSE,6342913,24777
NIACL,The New India Assurance Company Limited,32978.33779,Mid Cap,NSE,102145,399
ENDURANCE,Endurance Technologies Limited,32935.53951,Mid Cap,NSE,4818433,18822
GODFRYPHLP,Godfrey Phillips India Limited,32909.53482,Mid Cap,NSE,302337,1181
ABFRL,Aditya Birla Fashion and Retail Limited,32710.04652,Mid Cap,NSE,7707649,30108
MANYAVAR,Vedant Fashions Limited,32662.08072,Mid Cap,NSE,2090753,8167
IRB,IRB Infrastructure Developers Limited,32647.57105,Mid Cap,NSE,3920129,15313
MCX,Multi Commodity Exchange of India Limited,32528.67236,Mid Cap,NSE,7982337,31181
SUVENPHAR,Suven Pharmaceuticals Limited,32527.04051,Mid Cap,NSE,4593921,17945
RADICO,Radico Khaitan Limited,32319.05874,Mid Cap,NSE,2813441,10990
METROBRAND,Metro Brands Limited,32242.67981,Mid Cap,NSE,1853953,7242
GODIGIT,Go Digit General Insurance Limited,31812.62275,Mid Cap,NSE,6092545,23799
GILLETTE,Gillette India Limited,31793.54194,Small Cap,NSE,403465,1576
GILLETTE,Gillette India Limited,31793.54194,Small Cap,NSE,403457,1576
CDSL,Central Depository Services (India) Limited,31747.09985,Small Cap,NSE,5420545,21174
APOLLOTYRE,Apollo Tyres Limited,31602.62574,Small Cap,NSE,41729,163
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,31573.36064,Small Cap,NSE,5565441,21740
BASF,BASF India Limited,31444.82488,Small Cap,NSE,94209,368
KPRMILL,K.P.R. Mill Limited,31108.49413,Small Cap,NSE,3817473,14912
FIRSTCRY,Brainbees Solutions Limited,30463.98034,Small Cap,NSE,6352385,24814
STARHEALTH,Star Health and Allied Insurance Company Limited,30309.69221,Small Cap,NSE,1813249,7083
ABREL,Aditya Birla Real Estate Limited,29789.78857,Small Cap,NSE,160001,625
IGL,Indraprastha Gas Limited,29470.11379,Small Cap,NSE,2883073,11262
SUNTV,Sun TV Network Limited,29424.50074,Small Cap,NSE,3431425,13404
BRIGADE,Brigade Enterprises Limited,29310.87114,Small Cap,NSE,3887105,15184
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,29238.63736,Small Cap,NSE,441857,1726
EMAMILTD,Emami Limited,29165.26981,Small Cap,NSE,3460353,13517
MEDANTA,Global Health Limited,29079.61098,Small Cap,NSE,3060737,11956
POONAWALLA,Poonawalla Fincorp Limited,29054.12403,Small Cap,NSE,2919169,11403
TATACHEM,Tata Chemicals Limited,28832.00942,Small Cap,NSE,871681,3405
